date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:43	186956/186956	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e3b-2da4c%22	https://htmldemo.net/raz/raz/index.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index.html	(from )
15:46:43	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Feb%202024%2010:16:44%20GMT	https://htmldemo.net/robots.txt		(from )
15:46:44	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22636b8e71-47e%22	https://htmldemo.net/raz/raz/assets/images/favicon.ico	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/assets/images/favicon.ico	(from https://htmldemo.net/raz/raz/index.html)
15:46:45	142222/142222	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8ead-22b8e%22	https://htmldemo.net/raz/raz/assets/css/vendor/iconfont.min.css	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/assets/css/vendor/iconfont.min.css	(from https://htmldemo.net/raz/raz/index.html)
15:46:45	194859/194859	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8eab-2f92b%22	https://htmldemo.net/raz/raz/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/assets/css/vendor/bootstrap.min.css	(from https://htmldemo.net/raz/raz/index.html)
15:46:46	14646/14646	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8ead-3936%22	https://htmldemo.net/raz/raz/assets/css/vendor/revslider.css	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/assets/css/vendor/revslider.css	(from https://htmldemo.net/raz/raz/index.html)
15:46:46	145398/145398	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8ea5-237f6%22	https://htmldemo.net/raz/raz/assets/css/plugins/plugins.css	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/assets/css/plugins/plugins.css	(from https://htmldemo.net/raz/raz/index.html)
15:46:47	263740/263740	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8eab-4063c%22	https://htmldemo.net/raz/raz/assets/css/vendor/helper.css	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/assets/css/vendor/helper.css	(from https://htmldemo.net/raz/raz/index.html)
15:46:47	15518/15518	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636b8fc0-3c9e%22	https://htmldemo.net/raz/raz/assets/js/vendor/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/assets/js/vendor/modernizr-2.8.3.min.js	(from https://htmldemo.net/raz/raz/index.html)
15:46:47	1953/1953	---MC-	200	added ('OK')	image/png	date:Sun,%2011%20Feb%202024%2010:16:47%20GMT	https://htmldemo.net/raz/raz/assets/images/logo.png	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/assets/images/logo.png	(from https://htmldemo.net/raz/raz/index.html)
15:46:47	225047/225047	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e2e-36f17%22	https://htmldemo.net/raz/raz/index-2.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index-2.html	(from https://htmldemo.net/raz/raz/index.html)
15:46:48	381016/381016	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8e59-5d058%22	https://htmldemo.net/raz/raz/assets/css/style.css	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/assets/css/style.css	(from https://htmldemo.net/raz/raz/index.html)
15:46:48	64970/64970	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e30-fdca%22	https://htmldemo.net/raz/raz/index-4.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index-4.html	(from https://htmldemo.net/raz/raz/index.html)
15:46:48	414181/414181	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e33-651e5%22	https://htmldemo.net/raz/raz/index-5.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index-5.html	(from https://htmldemo.net/raz/raz/index.html)
15:46:48	186761/186761	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e30-2d989%22	https://htmldemo.net/raz/raz/index-3.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index-3.html	(from https://htmldemo.net/raz/raz/index.html)
15:46:49	55077/55077	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e36-d725%22	https://htmldemo.net/raz/raz/index-7.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index-7.html	(from https://htmldemo.net/raz/raz/index.html)
15:46:49	330044/330044	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e33-5093c%22	https://htmldemo.net/raz/raz/index-6.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index-6.html	(from https://htmldemo.net/raz/raz/index.html)
15:46:50	61423/61423	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e38-efef%22	https://htmldemo.net/raz/raz/index-9.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index-9.html	(from https://htmldemo.net/raz/raz/index.html)
15:46:50	371136/371136	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e38-5a9c0%22	https://htmldemo.net/raz/raz/index-8.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index-8.html	(from https://htmldemo.net/raz/raz/index.html)
15:46:51	265259/265259	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8e29-40c2b%22	https://htmldemo.net/raz/raz/index-11.html	C:/My%20Web%20Sites/raz/htmldemo.net/raz/raz/index-11.html	(from https://htmldemo.net/raz/raz/index.html)
